gsn,atc
6703,D07XA
6703,H02AB
6703,S01BA
6703,S01CB
6703,S02BA
6704,A01AC
6704,A07EA
6704,C05AA
6704,D07AA
6704,D07XA
6704,H02AB
6704,S01BA
6704,S01CB
6704,S02BA
6705,A01AC
6705,A07EA
6705,C05AA
6705,D07AA
6705,D07XA
6705,H02AB
6705,S01BA
6705,S01CB
6705,S02BA
6710,A07EA
6710,C05AA
6710,D07AA
6710,D07XA
6710,H02AB
6710,R01AD
6710,S01BA
6710,S01CB
6710,S02BA
6710,S03BA
6715,A07EA
6715,C05AA
6715,D07AA
6715,D07XA
6715,H02AB
6715,R01AD
6715,S01BA
6715,S01CB
